mae,crisis,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode
194.53600046940574,full,0.3,1.0,1.0,additive
194.74213629925737,pre2020,0.3,0.1,5.0,multiplicative
196.185373098215,full,0.3,0.1,5.0,multiplicative
197.57537265431858,no_holidays,0.3,10.0,0.1,additive
200.75451678001696,no_holidays,0.3,1.0,1.0,additive
201.58926855077422,pre2020,0.1,0.1,0.1,multiplicative
201.8443042128716,full,0.1,0.1,0.1,multiplicative
203.28100011890788,pre2020,0.1,0.1,0.1,additive
203.8119179376458,no_holidays,0.3,5.0,5.0,additive
204.38955850690817,pre2020,0.1,0.1,5.0,additive
208.7009202362353,full,0.1,0.1,5.0,additive
208.7703010147023,pre2020,0.3,1.0,0.1,multiplicative
209.3706392281296,full,0.1,0.1,0.1,additive
211.3981759160131,pre2020,0.1,0.1,5.0,multiplicative
212.26762979517312,full,0.1,0.1,5.0,multiplicative
213.22317703173144,pre2020,0.1,1.0,0.1,multiplicative
214.08002286094515,full,0.1,1.0,0.1,multiplicative
215.04550208901207,full,0.3,1.0,0.1,multiplicative
215.49687651833585,full,0.1,10.0,0.1,additive
215.52699547527138,full,0.1,1.0,0.1,additive
215.790361439123,full,0.1,10.0,0.1,multiplicative
216.08615157443478,pre2020,0.1,1.0,0.1,additive
216.1517619151407,full,0.1,5.0,0.1,multiplicative
216.20348495577318,pre2020,0.3,5.0,1.0,multiplicative
216.97368582659132,full,0.1,5.0,0.1,additive
217.0248743039317,pre2020,0.1,10.0,0.1,multiplicative
217.55041155489016,full,0.3,5.0,5.0,multiplicative
217.66701088704335,pre2020,0.1,5.0,0.1,additive
218.0463783316974,pre2020,0.3,5.0,5.0,multiplicative
218.12448484810912,pre2020,0.1,5.0,0.1,multiplicative
218.23746057700137,full,0.3,5.0,1.0,multiplicative
218.46049260487916,no_holidays,0.3,0.1,0.1,multiplicative
219.68444405876838,pre2020,0.1,10.0,0.1,additive
219.6905412772663,no_holidays,0.3,0.1,5.0,multiplicative
220.70999248935368,full,0.1,5.0,5.0,additive
222.7258880012895,full,0.1,5.0,5.0,multiplicative
226.64359870026166,pre2020,0.1,5.0,5.0,additive
229.27143030193585,pre2020,0.1,5.0,5.0,multiplicative
233.7264872592849,pre2020,0.03,10.0,0.1,additive
236.13805962322337,full,0.03,10.0,0.1,additive
236.5030387665497,pre2020,0.03,1.0,5.0,additive
238.4502818429277,pre2020,0.03,1.0,0.1,additive
238.69348029982544,pre2020,0.03,10.0,1.0,additive
239.93722588387365,pre2020,0.03,10.0,5.0,additive
242.73671629842298,full,0.03,1.0,0.1,additive
244.2765444711772,full,0.03,10.0,1.0,additive
245.45855189198687,full,0.03,1.0,5.0,additive
253.17760701274833,no_holidays,0.3,5.0,5.0,multiplicative
256.45057146869857,full,0.03,10.0,5.0,additive
257.0415699878524,no_holidays,0.3,5.0,1.0,multiplicative
257.6795131150738,no_holidays,0.3,1.0,0.1,multiplicative
284.44408876258717,full,0.03,10.0,5.0,multiplicative
285.1185202458201,full,0.03,10.0,1.0,multiplicative
288.99602154724874,pre2020,0.03,10.0,1.0,multiplicative
325.4245147573957,pre2020,0.03,10.0,5.0,multiplicative
